LEAGUE_SLUG,LEAGUE_NAME,TEAM_ID,TEAM_NAME,TEAM_ABBR,LOGO_URL,CATEGORY_PATH,FLAT_CACHE_PATH,STATUS,ERROR
arg.1,Argentine Liga Profesional de Fútbol,9739,Aldosivi,ALDO,https://a.espncdn.com/i/teamlogos/soccer/500/9739.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\aldosivi.png,C:\Temp\badges\aldosivi.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,3,Argentinos Juniors,ARGJ,https://a.espncdn.com/i/teamlogos/soccer/500/3.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\argentinos-juniors.png,C:\Temp\badges\argentinos-juniors.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,9785,Atlético Tucumán,CAT,https://a.espncdn.com/i/teamlogos/soccer/500/9785.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\atl-tico-tucum-n.png,C:\Temp\badges\atl-tico-tucum-n.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,235,Banfield,BAN,https://a.espncdn.com/i/teamlogos/soccer/500/235.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\banfield.png,C:\Temp\badges\banfield.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,10060,Barracas Central,BAR,https://a.espncdn.com/i/teamlogos/soccer/500/10060.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\barracas-central.png,C:\Temp\badges\barras-central.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,4,Belgrano (Córdoba),BEL,https://a.espncdn.com/i/teamlogos/soccer/500/4.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\belgrano-c-rdoba.png,C:\Temp\badges\belgrano-c-rdoba.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,5,Boca Juniors,CABJ,https://a.espncdn.com/i/teamlogos/soccer/500/5.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\boca-juniors.png,C:\Temp\badges\boca-juniors.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,11989,Central Córdoba (Santiago del Estero),CTR,https://a.espncdn.com/i/teamlogos/soccer/500/11989.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\central-c-rdoba-santiago-del-estero.png,C:\Temp\badges\central-c-rdoba-santiago-del-estero.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,8950,Defensa y Justicia,DYJ,https://a.espncdn.com/i/teamlogos/soccer/500/8950.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\defensa-y-justicia.png,C:\Temp\badges\defensa-y-justicia.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,17702,Deportivo Riestra,RIE,https://a.espncdn.com/i/teamlogos/soccer/500/17702.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\deportivo-riestra.png,C:\Temp\badges\deportivo-riestra.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,8,Estudiantes de La Plata,EST,https://a.espncdn.com/i/teamlogos/soccer/500/8.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\estudiantes-de-la-plata.png,C:\Temp\badges\estudiantes-de-la-plata.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,19685,Estudiantes de Río Cuarto,AAE,https://a.espncdn.com/i/teamlogos/soccer/500/19685.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\estudiantes-de-r-o-cuarto.png,C:\Temp\badges\estudiantes-de-r-o-cuarto.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,11972,Gimnasia (Mendoza),GMZ,https://a.espncdn.com/i/teamlogos/soccer/500/11972.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\gimnasia-mendoza.png,C:\Temp\badges\gimnasia-mendoza.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,9,Gimnasia La Plata,GLP,https://a.espncdn.com/i/teamlogos/soccer/500/9.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\gimnasia-la-plata.png,C:\Temp\badges\gimnasia-la-plata.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,10,Huracán,HUR,https://a.espncdn.com/i/teamlogos/soccer/500/10.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\hurac-n.png,C:\Temp\badges\hur-n.png,downloaded,
arg.1,Argentine Liga Profesional de Fútbol,11,Independiente,IND,https://a.espncdn.com/i/teamlogos/soccer/500/11.png,C:\Temp\badges-by-league\arg-1-argentine-liga-profesional-de-f-tbol\independiente.png,C:\Temp\badges\independiente.png,downloaded,
